antn, x, y, z
0, 0.8052, -0.4648, -1.9431
1, 1.0058, -0.2718, -1.3106
2, 0.9715, 0.0000, -1.9431
3, 1.0058, 0.2718, -1.3106
4, 0.8051, 0.4649, -1.9431
5, 0.7383, 0.7352, -1.3106
6, 0.4858, 0.8414, -1.9431
7, 0.2676, 1.0070, -1.3106
8, -0.0000, 0.9297, -1.9431
9, -0.2676, 1.0070, -1.3106
10, -0.4858, 0.8414, -1.9431
11, -0.7383, 0.7352, -1.3106
12, -0.8052, 0.4648, -1.9431
13, -1.0058, 0.2718, -1.3106
14, -0.9715, 0.0000, -1.9431
15, -1.0058, -0.2718, -1.3106
16, -0.8051, -0.4649, -1.9431
17, -0.7383, -0.7352, -1.3106
18, -0.4858, -0.8414, -1.9431
19, -0.2676, -1.0070, -1.3106
20, 0.0000, -0.9297, -1.9431
21, 0.2676, -1.0070, -1.3106
22, 0.4858, -0.8414, -1.9431
23, 0.7383, -0.7352, -1.3106
24, 1.9380, -1.1176, -4.9784
25, 2.1590, -0.5842, -4.9784
26, 2.2352, 0.0000, -4.9784
27, 2.1590, 0.5842, -4.9784
28, 1.9369, 1.1196, -4.9784
29, 1.5854, 1.5776, -4.9784
30, 1.1176, 1.9357, -4.9784
31, 0.5736, 2.1618, -4.9784
32, -0.0011, 2.2372, -4.9784
33, -0.5736, 2.1618, -4.9784
34, -1.1176, 1.9357, -4.9784
35, -1.5854, 1.5776, -4.9784
36, -1.9380, 1.1176, -4.9784
37, -2.1590, 0.5842, -4.9784
38, -2.2352, 0.0000, -4.9784
39, -2.1590, -0.5842, -4.9784
40, -1.9369, -1.1196, -4.9784
41, -1.5854, -1.5776, -4.9784
42, -1.1176, -1.9357, -4.9784
43, -0.5736, -2.1618, -4.9784
44, 0.0011, -2.2372, -4.9784
45, 0.5736, -2.1618, -4.9784
46, 1.1176, -1.9357, -4.9784
47, 1.5854, -1.5776, -4.9784
48, 1.9380, -1.1176, -5.7086
49, 2.1590, -0.5842, -5.7086
50, 2.2352, 0.0000, -5.7086
51, 2.1590, 0.5842, -5.7086
52, 1.9369, 1.1196, -5.7086
53, 1.5854, 1.5776, -5.7086
54, 1.1176, 1.9357, -5.7086
55, 0.5736, 2.1618, -5.7086
56, -0.0011, 2.2372, -5.7086
57, -0.5736, 2.1618, -5.7086
58, -1.1176, 1.9357, -5.7086
59, -1.5854, 1.5776, -5.7086
60, -1.9380, 1.1176, -5.7086
61, -2.1590, 0.5842, -5.7086
62, -2.2352, 0.0000, -5.7086
63, -2.1590, -0.5842, -5.7086
64, -1.9369, -1.1196, -5.7086
65, -1.5854, -1.5776, -5.7086
66, -1.1176, -1.9357, -5.7086
67, -0.5736, -2.1618, -5.7086
68, 0.0011, -2.2372, -5.7086
69, 0.5736, -2.1618, -5.7086
70, 1.1176, -1.9357, -5.7086
71, 1.5854, -1.5776, -5.7086
72, 1.9380, -1.1176, -6.4389
73, 2.1590, -0.5842, -6.4389
74, 2.2352, 0.0000, -6.4389
75, 2.1590, 0.5842, -6.4389
76, 1.9369, 1.1196, -6.4389
77, 1.5854, 1.5776, -6.4389
78, 1.1176, 1.9357, -6.4389
79, 0.5736, 2.1618, -6.4389
80, -0.0011, 2.2372, -6.4389
81, -0.5736, 2.1618, -6.4389
82, -1.1176, 1.9357, -6.4389
83, -1.5854, 1.5776, -6.4389
84, -1.9380, 1.1176, -6.4389
85, -2.1590, 0.5842, -6.4389
86, -2.2352, 0.0000, -6.4389
87, -2.1590, -0.5842, -6.4389
88, -1.9369, -1.1196, -6.4389
89, -1.5854, -1.5776, -6.4389
90, -1.1176, -1.9357, -6.4389
91, -0.5736, -2.1618, -6.4389
92, 0.0011, -2.2372, -6.4389
93, 0.5736, -2.1618, -6.4389
94, 1.1176, -1.9357, -6.4389
95, 1.5854, -1.5776, -6.4389
96, 1.3716, -0.7937, -8.7630
97, 1.5748, 0.0000, -8.7630
98, 1.3732, 0.7910, -8.7630
99, 0.7874, 1.3638, -8.7630
100, 0.0016, 1.5847, -8.7630
101, -0.7874, 1.3638, -8.7630
102, -1.3716, 0.7938, -8.7630
103, -1.5748, 0.0000, -8.7630
104, -1.3732, -0.7910, -8.7630
105, -0.7874, -1.3638, -8.7630
106, -0.0016, -1.5847, -8.7630
107, 0.7874, -1.3638, -8.7630
